year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa,posi,era,w,l,wpct,ip,ph,phr,pbb,phbp,pso,r,er,whip,qs,tbf,np,pavg,pb2,pb3,id,odds,rank
2015,이승엽,삼성,0.332,122,522.0,470.0,87.0,156.0,28.0,1.0,26.0,264.0,90.0,0.0,6.0,40.0,2.0,6.0,71.0,10.0,0.562,0.387,0.9490000000000001,45.0,0.321,55.0,114.0,135.0,0.84,8.0,0.56,3.86,0.23,94.3,1,,,,,,,,,,,,,,,,,,,,t1508,0.611,2
2015,박석민,삼성,0.321,135,559.0,448.0,90.0,144.0,25.0,0.0,26.0,247.0,116.0,1.0,8.0,83.0,0.0,19.0,97.0,13.0,0.551,0.441,0.992,32.0,0.42,51.0,103.0,112.0,0.92,14.0,0.86,4.26,0.23,107.2,1,,,,,,,,,,,,,,,,,,,,t1508,0.611,2
2015,최형우,삼성,0.318,144,637.0,547.0,94.0,174.0,33.0,1.0,33.0,308.0,123.0,0.0,8.0,73.0,7.0,9.0,101.0,13.0,0.563,0.402,0.965,46.0,0.302,67.0,114.0,166.0,0.69,18.0,0.72,4.02,0.245,115.6,1,,,,,,,,,,,,,,,,,,,,t1508,0.611,2
2015,박해민,삼성,0.293,144,608.0,525.0,96.0,154.0,22.0,7.0,0.0,190.0,47.0,23.0,2.0,56.0,1.0,2.0,126.0,8.0,0.36200000000000004,0.36200000000000004,0.7240000000000001,40.0,0.294,29.0,160.0,87.0,1.84,6.0,0.44,3.9,0.069,77.8,1,,,,,,,,,,,,,,,,,,,,t1508,0.611,2
2015,나바로,삼성,0.287,140,643.0,534.0,126.0,153.0,19.0,1.0,48.0,318.0,137.0,1.0,9.0,93.0,8.0,6.0,72.0,10.0,0.596,0.39299999999999996,0.9890000000000001,41.0,0.271,68.0,137.0,181.0,0.76,11.0,1.29,4.21,0.309,126.1,1,,,,,,,,,,,,,,,,,,,,t1508,0.611,2
2015,김상수,삼성,0.278,132,518.0,449.0,67.0,125.0,30.0,4.0,8.0,187.0,63.0,13.0,7.0,43.0,0.0,6.0,56.0,9.0,0.41600000000000004,0.345,0.7609999999999999,35.0,0.287,42.0,126.0,149.0,0.85,5.0,0.77,3.71,0.138,68.7,1,,,,,,,,,,,,,,,,,,,,t1508,0.611,2
2015,피가로,삼성,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.38,13.0,7.0,0.65,1.0,154.0,16.0,51.0,,117.0,66.0,62.0,1.24,18.0,688.0,2617.0,0.251,26.0,3.0,t1508,0.611,2
2015,윤성환,삼성,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.76,17.0,8.0,0.68,1.0,199.0,27.0,30.0,,164.0,86.0,81.0,1.18,17.0,809.0,3042.0,0.264,34.0,4.0,t1508,0.611,2
2015,차우찬,삼성,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.79,13.0,7.0,0.65,1.0,160.0,28.0,74.0,,194.0,98.0,92.0,1.35,17.0,743.0,3069.0,0.245,36.0,1.0,t1508,0.611,2
2015,클로이드,삼성,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.19,11.0,11.0,0.5,1.0,190.0,24.0,38.0,,123.0,103.0,92.0,1.43,14.0,705.0,2705.0,0.297,36.0,0.0,t1508,0.611,2
