year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa
2016,나성범,NC,0.309,144,653,572,116,177,37,2,22,284,113,1,4,67,2,9,136,4,0.497,0.388,0.885,56,0.32,61,132,131,1.01,15,0.49,3.79,0.187,107.4
2016,이택근,넥센,0.309,127,460,398,64,123,19,1,8,168,65,0,6,53,1,3,56,11,0.422,0.389,0.811,32,0.345,28,116,109,1.06,8,0.95,3.86,0.113,65.6
2016,나지완,KIA,0.308,118,486,380,84,117,21,2,25,217,90,0,4,85,1,17,90,8,0.571,0.451,1.022,32,0.304,48,62,115,0.54,8,0.94,4.18,0.263,96.5
2016,히메네스,LG,0.308,135,579,523,101,161,36,0,26,275,102,1,6,39,2,10,67,8,0.526,0.363,0.889,40,0.304,62,117,184,0.64,7,0.58,3.67,0.218,95.9
2016,에반스,두산,0.308,118,481,400,69,123,31,0,24,226,81,0,7,69,0,5,90,10,0.565,0.41,0.975,33,0.266,55,72,122,0.59,10,0.77,4.24,0.258,89.3
2016,박석민,NC,0.307,126,506,427,77,131,20,0,32,247,104,2,4,56,2,16,95,18,0.578,0.404,0.982,39,0.354,52,98,107,0.92,9,0.59,4.14,0.272,92.1
2016,김민성,넥센,0.306,141,579,510,76,156,39,5,17,256,90,1,12,53,3,3,89,15,0.502,0.367,0.869,47,0.298,61,112,165,0.68,3,0.6,4.18,0.196,90.1
2016,이종욱,NC,0.305,134,517,453,73,138,24,4,5,185,57,4,5,54,0,1,73,11,0.408,0.376,0.784,40,0.315,33,124,123,1.01,3,0.74,4.2,0.104,70.6
2016,이승엽,삼성,0.303,142,623,542,91,164,32,2,27,281,118,0,8,65,1,8,89,7,0.518,0.38,0.898,47,0.33,61,130,167,0.78,13,0.73,3.86,0.216,106.1
2016,박해민,삼성,0.3,141,641,564,109,169,26,12,4,231,61,22,3,49,2,3,87,6,0.41,0.357,0.767,51,0.299,42,145,166,0.87,4,0.56,3.82,0.11,86.0
