year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa,era,w,l,wpct,ip,ph,phr,pbb,phbp,pso,r,er,whip,qs,tbf,np,pavg,pb2,pb3,rank,odds,id
2020,박민우,NC,0.321,66,277.0,249.0,44.0,80.0,17.0,2.0,3.0,110.0,27.0,1.0,5.0,20.0,2.0,2.0,23.0,6.0,0.442,0.37,0.812,23.0,0.426,22.0,67.0,84.0,0.8,4.0,0.87,3.91,0.12,39.7,,,,,,,,,,,,,,,,,,,,1,0.635,t2009
2020,이명기,NC,0.312,72,276.0,250.0,40.0,78.0,9.0,2.0,1.0,94.0,29.0,1.0,2.0,21.0,0.0,2.0,45.0,3.0,0.376,0.36700000000000005,0.743,21.0,0.302,12.0,73.0,56.0,1.3,1.0,0.47,3.97,0.064,34.6,,,,,,,,,,,,,,,,,,,,1,0.635,t2006
2020,나성범,NC,0.307,71,329.0,290.0,59.0,89.0,22.0,2.0,19.0,172.0,58.0,0.0,1.0,33.0,1.0,5.0,91.0,5.0,0.593,0.386,0.9790000000000001,29.0,0.304,43.0,52.0,59.0,0.88,10.0,0.36,3.94,0.28600000000000003,60.8,,,,,,,,,,,,,,,,,,,,1,0.635,t2009
2020,알테어,NC,0.295,71,281.0,254.0,52.0,75.0,10.0,5.0,19.0,152.0,65.0,0.0,1.0,19.0,1.0,7.0,80.0,5.0,0.598,0.359,0.9570000000000001,21.0,0.342,34.0,46.0,54.0,0.85,5.0,0.24,3.81,0.303,52.5,,,,,,,,,,,,,,,,,,,,1,0.635,t2010
2020,박석민,NC,0.293,70,260.0,205.0,38.0,60.0,6.0,0.0,10.0,96.0,38.0,2.0,3.0,42.0,2.0,7.0,35.0,3.0,0.46799999999999997,0.424,0.892,8.0,0.321,16.0,54.0,59.0,0.92,5.0,1.2,4.21,0.17600000000000002,44.0,,,,,,,,,,,,,,,,,,,,1,0.635,t2006
2020,권희동,NC,0.282,65,243.0,195.0,41.0,55.0,8.0,0.0,10.0,93.0,33.0,5.0,1.0,37.0,0.0,5.0,43.0,5.0,0.47700000000000004,0.408,0.885,11.0,0.35100000000000003,18.0,42.0,56.0,0.75,3.0,0.86,4.4,0.195,38.9,,,,,,,,,,,,,,,,,,,,1,0.635,t2005
2020,양의지,NC,0.281,64,252.0,217.0,34.0,61.0,14.0,0.0,11.0,108.0,53.0,1.0,4.0,21.0,1.0,9.0,24.0,7.0,0.498,0.363,0.861,16.0,0.387,25.0,50.0,86.0,0.58,8.0,0.88,3.57,0.217,39.1,,,,,,,,,,,,,,,,,,,,1,0.635,t2002
2020,노진혁,NC,0.278,69,257.0,230.0,41.0,64.0,12.0,1.0,13.0,117.0,45.0,1.0,0.0,25.0,1.0,1.0,49.0,6.0,0.509,0.35200000000000004,0.861,19.0,0.32799999999999996,26.0,53.0,64.0,0.83,2.0,0.51,3.78,0.23,38.0,,,,,,,,,,,,,,,,,,,,1,0.635,t2007
2020,구창모,NC,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,9.0,0.0,1.0,8.0,54.0,6.0,17.0,,99.0,17.0,15.0,0.82,12.0,324.0,1266.0,0.17800000000000002,11.0,0.0,1,0.635,t2010
2020,루친스키,NC,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,11.0,2.0,0.846,1.0,94.0,8.0,34.0,,91.0,36.0,34.0,1.2,14.0,441.0,1713.0,0.23800000000000002,8.0,0.0,1,0.635,t2001
